ID,name,email,phone,city,country,address,isActive,createdAt,createdBy,modifiedAt,modifiedBy
23941449-2dcf-4ad8-a369-a4ca2e79996d,name-23941449,email-23941449,phone-23941449,city-23941449,country-23941449,address-23941449,false,2000-11-25T00:00:00.000Z,createdBy.e95c9@example.net,2015-12-15T00:00:00.000Z,modifiedBy.e95c9@example.com
23941450-2f79-4199-9051-acd970c04e80,name-23941450,email-23941450,phone-23941450,city-23941450,country-23941450,address-23941450,true,2006-08-19T00:00:00.000Z,createdBy.e95ca@example.com,2012-10-15T00:00:00.000Z,modifiedBy.e95ca@example.com
23941451-0e8a-43af-b63d-906728b12745,name-23941451,email-23941451,phone-23941451,city-23941451,country-23941451,address-23941451,false,2015-08-30T00:00:00.000Z,createdBy.e95cb@example.com,2001-07-18T00:00:00.000Z,modifiedBy.e95cb@example.org
23941452-238d-4cc5-8062-b47e9bd89729,name-23941452,email-23941452,phone-23941452,city-23941452,country-23941452,address-23941452,true,2002-04-14T00:00:00.000Z,createdBy.e95cc@example.com,2002-02-14T00:00:00.000Z,modifiedBy.e95cc@example.org
23941453-9469-4ec9-8650-f0ce09dcf3f8,name-23941453,email-23941453,phone-23941453,city-23941453,country-23941453,address-23941453,false,2005-08-22T00:00:00.000Z,createdBy.e95cd@example.com,2001-01-07T00:00:00.000Z,modifiedBy.e95cd@example.com
23941454-7dfe-4533-82ee-67bb212a8589,name-23941454,email-23941454,phone-23941454,city-23941454,country-23941454,address-23941454,true,2014-04-19T00:00:00.000Z,createdBy.e95ce@example.org,2006-06-23T00:00:00.000Z,modifiedBy.e95ce@example.com
23941455-2a4c-44f1-b4e2-2d38a74ef2bc,name-23941455,email-23941455,phone-23941455,city-23941455,country-23941455,address-23941455,false,2018-09-30T00:00:00.000Z,createdBy.e95cf@example.net,2003-09-30T00:00:00.000Z,modifiedBy.e95cf@example.net
23941456-c108-4763-9384-19d0a5abd30e,name-23941456,email-23941456,phone-23941456,city-23941456,country-23941456,address-23941456,true,2005-01-31T00:00:00.000Z,createdBy.e95cg@example.org,2023-02-20T00:00:00.000Z,modifiedBy.e95cg@example.org
23941457-7749-4319-bf10-79a9e03d9698,name-23941457,email-23941457,phone-23941457,city-23941457,country-23941457,address-23941457,false,2004-07-23T00:00:00.000Z,createdBy.e95ch@example.com,2000-11-24T00:00:00.000Z,modifiedBy.e95ch@example.net
23941458-e350-4f6f-ad5f-937ea10cc801,name-23941458,email-23941458,phone-23941458,city-23941458,country-23941458,address-23941458,true,2022-01-19T00:00:00.000Z,createdBy.e95ci@example.net,2001-04-26T00:00:00.000Z,modifiedBy.e95ci@example.org
